Sample_ID,Sample_name_16S,Sample_name_18S,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sheltered_Index,Sea_Surface_Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,
K_D_SGO_t0_1,515F-806R-P01-A01-SeaStore-Seq01-2022-K-D-SGO-t0-1,1183F-1443R-P01-A01-SeaStore-Seq01-2022-K-D-SGO-t0-1,old_leaf,Kiel,2021-05-31,28.07.2021,151,May,Spring,NA,54.346,10.154,25.1,4.5,6,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,
K_D_SGO_t0_2,515F-806R-P01-B01-SeaStore-Seq01-2022-K-D-SGO-t0-2,1183F-1443R-P01-B01-SeaStore-Seq01-2022-K-D-SGO-t0-2,old_leaf,Kiel,2021-05-31,25.11.2021,151,May,Spring,NA,54.346,10.154,17,3,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,
K_D_SGO_t0_3,515F-806R-P01-C01-SeaStore-Seq01-2022-K-D-SGO-t0-3,1183F-1443R-P01-C01-SeaStore-Seq01-2022-K-D-SGO-t0-3,old_leaf,Kiel,2021-05-31,01.12.2021,151,May,Spring,NA,54.346,10.154,18.6,4,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,8.01E-06,3.82E-04,17.3962841,-3.64,
K_D_SGO_t1_1,515F-806R-P01-G01-SeaStore-Seq01-2022-K-D-SGO-t1-1,1183F-1443R-P01-G01-SeaStore-Seq01-2022-K-D-SGO-t1-1,old_leaf,Kiel,2021-07-06,10.08.2021,187,July,Summer,NA,54.346,10.154,35,3,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,
K_D_SGO_t1_2,515F-806R-P01-H01-SeaStore-Seq01-2022-K-D-SGO-t1-2,1183F-1443R-P01-H01-SeaStore-Seq01-2022-K-D-SGO-t1-2,old_leaf,Kiel,2021-07-06,25.11.2021,187,July,Summer,NA,54.346,10.154,42.5,4,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,
K_D_SGO_t1_3,515F-806R-P01-A02-SeaStore-Seq01-2022-K-D-SGO-t1-3,1183F-1443R-P01-A02-SeaStore-Seq01-2022-K-D-SGO-t1-3,old_leaf,Kiel,2021-07-06,26.11.2021,187,July,Summer,NA,54.346,10.154,48.7,4,3,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,1.17E-05,0.001480895281,13.03527451,-3.64,
K_RQ1_SGO_t1_1,515F-806R-P01-E02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-1,1183F-1443R-P01-E02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-1,old_leaf,Kiel,2021-07-07,25.11.2021,188,July,Summer,NA,54.349,10.15,20,3,6,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,
K_RQ1_SGO_t1_2,515F-806R-P01-F02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-2,1183F-1443R-P01-F02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-2,old_leaf,Kiel,2021-07-07,06.12.2021,188,July,Summer,NA,54.349,10.15,14.7,2,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,
K_RQ1_SGO_t1_3,515F-806R-P01-G02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-3,1183F-1443R-P01-G02-SeaStore-Seq01-2022-K-RQ1-SGO-t1-3,old_leaf,Kiel,2021-07-07,28.07.2021,188,July,Summer,NA,54.349,10.15,12.5,2.5,5,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,
K_RQ2_SGO_t1_1,515F-806R-P01-C03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-1,1183F-1443R-P01-C03-SeaStore-Seq01-2022-K-RQ2-SGO-t1-1,old_leaf,Kiel,2021-07-07,25.11.2021,188,July,Summer,NA,54.349,10.15,14.4,2.5,4,Seastore_Project,SP,leaf_piece,Kiel Bay,Germany,8,NA,7.25E-07,5.41E-05,14.44174767,-3.64,
