Sample_ID,Sample_type,Site,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Sample_date,Shoot_Length,Leaf_Width,No_Leaves,Salinity,Temperature,Dataset,Dataset_short,Dislodgment_method,Area,Country,LibrarySize_16S,Bathymetry,Richness_16S,Shannon_16S,Orbital_Velocity_from_Max,Orbital_Velocity_from_Mean,Orbital_Velocity
B1,whole plant,klosterloch,21.04.2016,238,August,Summer,2.5,54.57827,13.12357,26.08.2015,135,4.5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,59761,-2.52,944,6.028812842,0.576327,0.7191241,Growing Season
B10,whole plant,faehrinsel,19.05.2016,239,August,Summer,3,54.55705,13.13677,27.08.2015,95,3.5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,12123,-2.47,498,5.5973339,0.7100287,0.9078668,Growing Season
B2,whole plant,klosterloch,11.01.2016,238,August,Summer,2.5,54.57827,13.12357,26.08.2015,135,4.5,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,45556,-2.52,915,6.068706554,0.576327,0.7191241,Growing Season
B3,whole plant,klosterloch,07.01.2016,238,August,Summer,2.5,54.57827,13.12357,26.08.2015,105,4,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,24744,-2.52,773,6.007990494,0.576327,0.7191241,Growing Season
B4,whole plant,klosterloch,02.11.2015,238,August,Summer,2.5,54.57827,13.12357,26.08.2015,110,4,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,41139,-2.52,919,6.097289631,0.576327,0.7191241,Growing Season
B5,whole plant,klosterloch,02.05.2016,238,August,Summer,2.5,54.57827,13.12357,26.08.2015,110,5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,50547,-2.52,1037,6.256051612,0.576327,0.7191241,Growing Season
B6,whole plant,faehrinsel,18.05.2016,239,August,Summer,3,54.55705,13.13677,27.08.2015,90,4,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,51965,-2.47,796,5.59995788,0.7100287,0.9078668,Growing Season
B7,whole plant,faehrinsel,19.05.2016,239,August,Summer,3,54.55705,13.13677,27.08.2015,115,3.5,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,28323,-2.47,631,5.635567962,0.7100287,0.9078668,Growing Season
B8,whole plant,faehrinsel,19.05.2016,239,August,Summer,3,54.55705,13.13677,27.08.2015,94,4,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,20182,-2.47,524,5.206445682,0.7100287,0.9078668,Growing Season
B9,whole plant,faehrinsel,19.05.2016,239,August,Summer,3,54.55705,13.13677,27.08.2015,125,4.5,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,27455,-2.47,613,5.476978319,0.7100287,0.9078668,Growing Season
L1,whole plant,libben1,10.05.2016,240,August,Summer,3.9,54.60116,13.15891,28.08.2015,65,3,5,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,26318,-4.47,436,5.027868109,0.5334319,0.6941602,Growing Season
L10,whole plant,libben2,02.11.2015,243,August,Summer,5,54.59808,13.21117,31.08.2015,46,2.5,4,NA,NA,Hiddensee_Study,HS,swabbing,Western Pomerania Lagoon National Park,Germany,16701,-4.19,399,4.984034521,0.7910902,1.0564476,Growing Season
