Sample_ID,Sample_type,Site,Sample_date,Extraction_date,Julian_day,Month,Season,Depth,Latitude,Longitude,Shoot_Length,Leaf_Width,No_Leaves,Dataset,Dataset_short,Dislodgment_method,Area,Country,Sample_name_16S,Sample_name_18S,E,N,NE,NW,S,SE,SW,W,Sheltered.Index,Sea.Surface.Temperature,Orbital_Velocity_Mean,Orbital_Velocity_Max,Salinity,Bathymetry,LibrarySize_18S,Richness_18S,Shannon_18S,DNA_Concentration
K_RQ2_SGO_t4_1,old_leaf,Kiel,2022-05-25,24.08.2022,145,May,Spring,NA,54.349,10.15,40.9,3.5,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-C12-SeaStore-Seq01-2022-2-K-D-SGO-t4-3,1183F-1443R-P01-C12-SeaStore-Seq01-2022-2-K-D-SGO-t4-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,2.18E-06,5.10E-05,13.86539173,-3.64,5006,18,0.9109530659,1.56
K_RQ1_SGO_t4_1,old_leaf,Kiel,2022-05-25,24.08.2022,145,May,Spring,NA,54.349,10.15,36,4,5,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-E11-SeaStore-Seq01-2022-2-M-RQ4-SGO-t4-3,1183F-1443R-P01-E11-SeaStore-Seq01-2022-2-M-RQ4-SGO-t4-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,2.18E-06,5.10E-05,13.86539173,-3.64,76652,24,1.356033801,6.79
K_D_SGO_t4_1,old_leaf,Kiel,2022-05-26,24.08.2022,146,May,Spring,NA,54.346,10.154,35.7,5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-G10-SeaStore-Seq01-2022-2-M-RQ3-SGO-t4-2,1183F-1443R-P01-G10-SeaStore-Seq01-2022-2-M-RQ3-SGO-t4-2,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,7.04E-06,4.29E-04,13.86539173,-3.64,18741,27,1.941750706,6.14
K_D_SGO_t4_2,old_leaf,Kiel,2022-05-26,21.09.2022,146,May,Spring,NA,54.346,10.154,23.6,3.5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P01-H10-SeaStore-Seq01-2022-2-M-RQ3-SGO-t4-3,1183F-1443R-P01-H10-SeaStore-Seq01-2022-2-M-RQ3-SGO-t4-3,0.9486099468,0.8552587941,0.373863805,0.9949431349,0.9852850089,0.9802549501,0.9990751514,1,8,NA,7.04E-06,4.29E-04,13.86539173,-3.64,21572,46,2.275951638,3.45
L_11_SGO_b,old_leaf,GEOMAR_Lab,2021-10-01,16.12.2021,274,October,Autumn,NA,NA,NA,71,4,4,Seastore_Project,SP,whole_leaf,Lab,Germany,515F-806R-P02-B11-SeaStore-Seq02-2022-2-KR2-water-in,1183F-1443R-P02-B11-SeaStore-Seq02-2022-2-KR2-water-in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31305,143,3.768813055,14.3
K_RQ4_SGO_t4_1,old_leaf,Kiel,2022-05-25,24.08.2022,145,May,Spring,NA,54.349,10.15,34.4,5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-C06-SeaStore-Seq02-2022-2-K-RQ2-SGO-t4-2,1183F-1443R-P02-C06-SeaStore-Seq02-2022-2-K-RQ2-SGO-t4-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,2.18E-06,5.10E-05,13.86539173,-3.64,4656,7,0.5952920777,0.65
K_RQ4_SGO_t4_2,old_leaf,Kiel,2022-05-25,21.09.2022,145,May,Spring,NA,54.349,10.15,38,5,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-D06-SeaStore-Seq02-2022-2-K-RQ2-SGO-t4-3,1183F-1443R-P02-D06-SeaStore-Seq02-2022-2-K-RQ2-SGO-t4-3,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,2.18E-06,5.10E-05,13.86539173,-3.64,2410,9,0.8432029179,1.91
L_11_SGO_r,old_leaf,GEOMAR_Lab,2021-10-01,16.12.2021,274,October,Autumn,NA,NA,NA,78,4,3,Seastore_Project,SP,whole_leaf,Lab,Germany,515F-806R-P02-D11-SeaStore-Seq02-2022-2-SGO-Kos,1183F-1443R-P02-D11-SeaStore-Seq02-2022-2-SGO-Kos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8739,57,2.669722452,20.2
K_RQ3_SGO_t4_1,old_leaf,Kiel,2022-05-25,24.08.2022,145,May,Spring,NA,54.349,10.15,29.2,4,4,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-E05-SeaStore-Seq02-2022-2-K-RQ1-SGO-t4-2,1183F-1443R-P02-E05-SeaStore-Seq02-2022-2-K-RQ1-SGO-t4-2,0.924960071,0.8810951465,0.3596256018,0.9982019981,0.9887990946,0.9722177475,1,1,8,NA,2.18E-06,5.10E-05,13.86539173,-3.64,18553,14,0.6621714834,4.36
M_N_SGO_t0_3,old_leaf,Maasholm,2021-06-10,15.12.2021,161,June,Summer,NA,54.687,10.007,20.5,3.5,3,Seastore_Project,SP,whole_leaf,Kiel Bay,Germany,515F-806R-P02-E12-SeaStore-Seq02-2022-2-M-RQ3-SGO-t4-1,1183F-1443R-P02-E12-SeaStore-Seq02-2022-2-M-RQ3-SGO-t4-1,0,0.0208602738,0.001887815768,0.7736870256,0.8239476887,0.07844843815,0.9893686468,0.8583808343,6,13.50905609,Inf,Inf,21.46413422,0,34946,24,1.234954476,9.38
