"Site","Area","richness","shannon"
"klosterloch","Western Pomerania Lagoon National Park",18,2.89037175789616
"faehrinsel","Western Pomerania Lagoon National Park",16,2.73633905110507
"klosterloch","Western Pomerania Lagoon National Park",17,2.81335540450062
"klosterloch","Western Pomerania Lagoon National Park",18,2.89037175789616
"klosterloch","Western Pomerania Lagoon National Park",18,2.89037175789616
"klosterloch","Western Pomerania Lagoon National Park",16,2.70726970978481
"faehrinsel","Western Pomerania Lagoon National Park",18,2.89037175789616
"faehrinsel","Western Pomerania Lagoon National Park",16,2.70726970978481
"faehrinsel","Western Pomerania Lagoon National Park",15,2.65932269770952
"faehrinsel","Western Pomerania Lagoon National Park",16,2.73633905110507
"libben1","Western Pomerania Lagoon National Park",14,2.58230634431397
"libben2","Western Pomerania Lagoon National Park",15,2.63025335638926
"libben1","Western Pomerania Lagoon National Park",15,2.65932269770952
"libben1","Western Pomerania Lagoon National Park",16,2.73633905110507
"libben1","Western Pomerania Lagoon National Park",16,2.73633905110507
"libben1","Western Pomerania Lagoon National Park",16,2.73633905110507
"libben2","Western Pomerania Lagoon National Park",16,2.73633905110507
"libben2","Western Pomerania Lagoon National Park",14,2.58230634431397
"libben2","Western Pomerania Lagoon National Park",11,2.24517158941152
"libben2","Western Pomerania Lagoon National Park",18,2.89037175789616
"libbenX","Western Pomerania Lagoon National Park",13,2.39920429620261
"libbenX","Western Pomerania Lagoon National Park",14,2.55323700299371
"libbenX","Western Pomerania Lagoon National Park",18,2.89037175789616
"libbenX","Western Pomerania Lagoon National Park",15,2.65932269770952
"libbenX","Western Pomerania Lagoon National Park",16,2.73633905110507
"shaprode1","Western Pomerania Lagoon National Park",18,2.89037175789616
"shaprode2","Western Pomerania Lagoon National Park",16,2.70726970978481
"shaprode1","Western Pomerania Lagoon National Park",16,2.73633905110507
"shaprode1","Western Pomerania Lagoon National Park",17,2.81335540450062
"shaprode1","Western Pomerania Lagoon National Park",17,2.81335540450062
"shaprode1","Western Pomerania Lagoon National Park",16,2.73633905110507
"shaprode2","Western Pomerania Lagoon National Park",13,2.29311860148681
"shaprode2","Western Pomerania Lagoon National Park",17,2.81335540450062
"shaprode2","Western Pomerania Lagoon National Park",17,2.81335540450062
"shaprode2","Western Pomerania Lagoon National Park",17,2.81335540450062
"Klosterloch","Western Pomerania Lagoon National Park",15,2.65932269770952
"Klosterloch","Western Pomerania Lagoon National Park",17,2.81335540450062
"Klosterloch","Western Pomerania Lagoon National Park",14,2.44330567110891
"Klosterloch","Western Pomerania Lagoon National Park",16,2.70726970978481
"Klosterloch","Western Pomerania Lagoon National Park",10,2.10617091620646
"Klosterloch","Western Pomerania Lagoon National Park",10,1.88915916375402
"Klosterloch","Western Pomerania Lagoon National Park",11,2.11001655337546
"Klosterloch","Western Pomerania Lagoon National Park",11,2.05661256875688
"Rassower_Strom","Western Pomerania Lagoon National Park",14,2.50528999091842
"Rassower_Strom","Western Pomerania Lagoon National Park",18,2.89037175789616
"Rassower_Strom","Western Pomerania Lagoon National Park",17,2.81335540450062
"Rassower_Strom","Western Pomerania Lagoon National Park",18,2.89037175789616
"Rassower_Strom","Western Pomerania Lagoon National Park",15,2.63025335638926
"Rassower_Strom","Western Pomerania Lagoon National Park",16,2.73633905110507
"Rassower_Strom","Western Pomerania Lagoon National Park",11,2.13524025752672
"Rassower_Strom","Western Pomerania Lagoon National Park",11,2.05661256875688
"Leuchtturm","Western Pomerania Lagoon National Park",9,1.78307346903822
"Leuchtturm","Western Pomerania Lagoon National Park",14,2.58230634431397
"Leuchtturm","Western Pomerania Lagoon National Park",15,2.65932269770952
"Leuchtturm","Western Pomerania Lagoon National Park",10,2.16815523601597
"Leuchtturm","Western Pomerania Lagoon National Park",12,2.21610224809126
"Leuchtturm","Western Pomerania Lagoon National Park",10,1.95052687404108
"Leuchtturm","Western Pomerania Lagoon National Park",16,2.73633905110507
"Leuchtturm","Western Pomerania Lagoon National Park",12,2.37013495488236
"Loissin","Greifswald Bay",15,2.63025335638926
"Loissin","Greifswald Bay",15,2.63025335638926
"Loissin","Greifswald Bay",16,2.73633905110507
"Loissin","Greifswald Bay",12,2.34106561356211
"Loissin","Greifswald Bay",12,2.35125728412732
"Loissin","Greifswald Bay",11,2.27424093073177
"Loissin","Greifswald Bay",10,2.18703290677101
"Bjoernoe","Stockholm Archipelago",16,2.73633905110507
"Bjoernoe","Stockholm Archipelago",10,1.88915916375402
"Bjoernoe","Stockholm Archipelago",11,2.24517158941152
"Bjoernoe","Stockholm Archipelago",14,2.50528999091842
"Bjoernoe","Stockholm Archipelago",10,2.16815523601597
"Bjoernoe","Stockholm Archipelago",11,2.24517158941152
"Bjoernoe","Stockholm Archipelago",13,2.42827363752287
"Bjoernoe","Stockholm Archipelago",10,2.10617091620646
"Herrvik","Gotland",8,1.6086574211167
"Herrvik","Gotland",6,1.15675097130862
"Herrvik","Gotland",6,1.35103941583702
"Herrvik","Gotland",2,0.214559155176405
"Herrvik","Gotland",11,2.24517158941152
"Herrvik","Gotland",10,1.79175946922805
"Herrvik","Gotland",9,1.61115781734392
"Libben","Western Pomerania Lagoon National Park",6,1.42555537300535
"Heidkate","KielFjord",7,1.45712511055282
"Having","Greifswald Bay",10,1.79175946922805
"Vilm1","Mecklenburg Bay",12,2.34106561356211
"Lubmin","Western Pomerania Lagoon National Park",10,1.97959621536133
"Falckenstein","KielFjord",13,2.42827363752287
"Poel","Mecklenburg Bay",16,2.70726970978481
"Libben","Western Pomerania Lagoon National Park",9,1.95598384658436
"Heidkate","KielFjord",10,2.03300019997991
"Having","Greifswald Bay",18,2.89037175789616
"Lubmin","Western Pomerania Lagoon National Park",6,1.03790833306283
"Falckenstein","KielFjord",15,2.65932269770952
"Poel","Mecklenburg Bay",13,2.42827363752287
"Schaprode1","Western Pomerania Lagoon National Park",17,2.81335540450062
"Badeanstalt","KielFjord",11,2.18318726960201
"HamburgerHallig","NorthSea",16,2.73633905110507
"Warnemunde","Mecklenburg Bay",11,2.18318726960201
"Falckenstein","KielFjord",14,2.50528999091842
"Schaprode1","Western Pomerania Lagoon National Park",14,2.58230634431397
"Badeanstalt","KielFjord",11,2.05661256875688
"HamburgerHallig","NorthSea",1,0
"Warnemunde","Mecklenburg Bay",9,1.61115781734392
"Vilm1","Mecklenburg Bay",16,2.73633905110507
"Falckenstein","KielFjord",11,2.11001655337546
"Maasholm","Kiel Bay",7,1.45712511055282
"Maasholm","Kiel Bay",16,2.70726970978481
"Kiel","Kiel Bay",6,1.15675097130862
"Kiel","Kiel Bay",13,2.29311860148681
"Kiel","Kiel Bay",10,1.97959621536133
"Kiel","Kiel Bay",6,1.36892236074022
"Kiel","Kiel Bay",11,2.19722457733622
"Kiel","Kiel Bay",8,1.79649416724998
"Kiel","Kiel Bay",11,2.21225661092227
"Kiel","Kiel Bay",6,1.24188926529692
"Kiel","Kiel Bay",11,2.13524025752672
"GEOMAR_Lab","Lab",12,2.37013495488236
"Kiel","Kiel Bay",7,1.56071040904141
"Kiel","Kiel Bay",8,1.74854715517468
"GEOMAR_Lab","Lab",18,2.89037175789616
"Kiel","Kiel Bay",11,2.18318726960201
"Maasholm","Kiel Bay",10,2.15796356545076
"Kiel","Kiel Bay",11,2.18318726960201
"Maasholm","Kiel Bay",15,2.63025335638926
"Koster","Kosterfjord",14,2.58230634431397
"Gasö","Gasöfjord",17,2.81335540450062
"Kiel","Kiel Bay",7,1.59997142092687
"Kiel","Kiel Bay",8,1.53414146394837
"Kiel","Kiel Bay",11,2.13908589469571
"Kiel","Kiel Bay",9,2.04319187054512
"Kiel","Kiel Bay",10,1.95052687404108
"Kiel","Kiel Bay",16,2.73633905110507
"Kiel","Kiel Bay",9,1.95213820941536
"Kiel","Kiel Bay",13,2.36628931771337
"Kiel","Kiel Bay",11,2.18318726960201
"Maasholm","Kiel Bay",7,1.62904076224712
"Kiel","Kiel Bay",9,1.71474311583251
"Maasholm","Kiel Bay",13,2.36628931771337
"Kiel","Kiel Bay",4,1.11748995942315
"Kiel","Kiel Bay",9,1.78307346903822
"Maasholm","Kiel Bay",12,2.28927296431782
"Maasholm","Kiel Bay",12,2.35125728412732
"Kiel","Kiel Bay",9,1.82556350857023
"Maasholm","Kiel Bay",16,2.70726970978481
"Kiel","Kiel Bay",10,1.97959621536133
"Kiel","Kiel Bay",13,2.47622064959816
"Kiel","Kiel Bay",10,2.12020822394067
"Maasholm","Kiel Bay",11,2.21610224809126
"Kiel","Kiel Bay",11,2.11001655337546
"Kiel","Kiel Bay",14,2.55323700299371
"Maasholm","Kiel Bay",12,2.21610224809126
"Maasholm","Kiel Bay",12,2.37013495488236
"Kiel","Kiel Bay",10,1.88915916375402
"Koster","Kosterfjord",12,2.21610224809126
"Maasholm","Kiel Bay",10,2.03300019997991
"Kiel","Kiel Bay",11,2.29311860148681
"Maasholm","Kiel Bay",5,0.837771612639852
"Maasholm","Kiel Bay",6,1.54183273828636
"Gelting","Kiel Bay",8,1.84989815186856
"Gelting","Kiel Bay",18,2.89037175789616
"Gelting","Kiel Bay",18,2.89037175789616
"Maasholm","Kiel Bay",17,2.81335540450062
"Maasholm","Kiel Bay",16,2.73633905110507
"Maasholm","Kiel Bay",18,2.89037175789616
"Maasholm","Kiel Bay",17,2.81335540450062
"Kiel","Kiel Bay",17,2.81335540450062
"Kiel","Kiel Bay",17,2.81335540450062
"Kiel","Kiel Bay",16,2.73633905110507
"Kiel","Kiel Bay",6,1.3446933824408
"Kiel","Kiel Bay",3,1.06085694715802
"Kiel","Kiel Bay",18,2.89037175789616
"Kiel","Kiel Bay",18,2.89037175789616
"Kiel","Kiel Bay",14,2.55323700299371
"Kiel","Kiel Bay",18,2.89037175789616
"Kiel","Kiel Bay",18,2.89037175789616
"Gelting","Kiel Bay",15,2.65932269770952
"Gelting","Kiel Bay",14,2.55323700299371
"Gelting","Kiel Bay",16,2.73633905110507
"Gelting","Kiel Bay",18,2.89037175789616
"Gelting","Kiel Bay",16,2.73633905110507
"Gelting","Kiel Bay",18,2.89037175789616
"Maasholm","Kiel Bay",11,2.27424093073177
"Maasholm","Kiel Bay",15,2.65932269770952
"Kiel","Kiel Bay",16,2.70726970978481
"Kiel","Kiel Bay",14,2.58230634431397
"Maasholm","Kiel Bay",13,2.47622064959816
"Kiel","Kiel Bay",17,2.81335540450062
"Maasholm","Kiel Bay",17,2.81335540450062
"Kiel","Kiel Bay",6,1.51749809498804
"Kiel","Kiel Bay",16,2.73633905110507
"Koster","Kosterfjord",14,2.52416766167346
"Kiel","Kiel Bay",10,2.13908589469571
"Koster","Kosterfjord",16,2.73633905110507
"Kiel","Kiel Bay",9,1.87351052064553
"Kiel","Kiel Bay",17,2.81335540450062
"Kiel","Kiel Bay",6,1.4546247143256
"Kiel","Kiel Bay",12,2.39920429620261
"Kiel","Kiel Bay",16,2.73633905110507
"Kiel","Kiel Bay",11,2.13524025752672
"Kiel","Kiel Bay",15,2.65932269770952
"Maasholm","Kiel Bay",17,2.81335540450062
"Maasholm","Kiel Bay",15,2.58230634431397
"Maasholm","Kiel Bay",16,2.70726970978481
"Maasholm","Kiel Bay",17,2.81335540450062
"Kiel","Kiel Bay",5,1.16487291190137
"Kiel","Kiel Bay",11,2.27424093073177
"Kiel","Kiel Bay",14,2.58230634431397
"Kiel","Kiel Bay",12,2.35125728412732
"Kiel","Kiel Bay",12,2.28927296431782
"GEOMAR_Lab","Lab",18,2.89037175789616
"Kiel","Kiel Bay",10,2.16815523601597
"Maasholm","Kiel Bay",9,1.90257986196578
"Kiel","Kiel Bay",13,2.36628931771337
"Askerön","Askeröfjord",13,2.36628931771337
"Gasö","Gasöfjord",16,2.73633905110507
"Gasö","Gasöfjord",16,2.73633905110507
"Askerön","Askeröfjord",16,2.73633905110507
"Koster","Kosterfjord",18,2.89037175789616
"Gasö","Gasöfjord",14,2.44330567110891
"Gasö","Gasöfjord",17,2.81335540450062
"Gasö","Gasöfjord",17,2.81335540450062
"Koster","Kosterfjord",18,2.89037175789616
"Gasö","Gasöfjord",18,2.89037175789616
"Koster","Kosterfjord",15,2.63025335638926
"Koster","Kosterfjord",18,2.89037175789616
"Koster","Kosterfjord",17,2.81335540450062
"Askerön","Askeröfjord",18,2.89037175789616
"Askerön","Askeröfjord",14,2.55323700299371
"Askerön","Askeröfjord",17,2.81335540450062
"Gasö","Gasöfjord",18,2.89037175789616
"Askerön","Askeröfjord",16,2.73633905110507
"Gasö","Gasöfjord",18,2.89037175789616
"Bökevik2","Gasöfjord",16,2.73633905110507
"Bökevik1","Gasöfjord",13,2.42827363752287
"Bökevik3","Gasöfjord",12,2.26020362299756
"Bökevik4","Gasöfjord",15,2.63025335638926
"Bökevik2","Gasöfjord",7,1.34797496001272
"Bökevik1","Gasöfjord",1,0
"Bökevik3","Gasöfjord",14,2.55323700299371
"Bökevik4","Gasöfjord",16,2.73633905110507
