root,type,domain,rank_I,rank_II,rank_III,rank_IV,rank_V,rank_VI,rank_VII,rank_VIII,rank_IX,rank_X,rank_XI
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 7,Hartmannulidae,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified
root,Main genome,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa X,Centroheliozoa XX,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified,Centroheliozoa XX_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 7,Hartmannulidae,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,Obelia_unclassified,Obelia_unclassified,Obelia_unclassified,Obelia_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia_unclassified,Acartia_unclassified,Acartia_unclassified,Acartia_unclassified
root,Main genome,Eukaryota,Amorphea,Fungi,Chytridiomycota,Monoblepharidomycetes,Monoblepharidales,Monoblepharidales_unclassified,Monoblepharidales_unclassified,Monoblepharidales_unclassified,Monoblepharidales_unclassified,Monoblepharidales_unclassified,Monoblepharidales_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 7,Hartmannulidae,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified,Hartmannulidae_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria 1,Pithitidae,Pithitidae_unclassified,Pithitidae_unclassified,Pithitidae_unclassified,Pithitidae_unclassified,Pithitidae_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia_unclassified,Acartia_unclassified,Acartia_unclassified,Acartia_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified,Monhysteridae_unclassified
root,Main genome,Eukaryota,SAR,Alveolata,Ciliophora,Spirotrichea,Euplotia,Euplotidae,Euplotes,Euplotes minuta,Euplotes minuta_unclassified,Euplotes minuta_unclassified,Euplotes minuta_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Diplonemea,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Diplonemea,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified
root,Main genome,Eukaryota,Excavata,Discoba,Diplonemea,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified,Diplonemea_unclassified
root,Main genome,Eukaryota,Amorphea,Metazoa,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia_unclassified,Acartia_unclassified,Acartia_unclassified,Acartia_unclassified
