"","root","type","kingdom","superkingdom","superphylum","phylum","class","order","family","genus","species"
"ASV4","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Methylophagaceae_unclassified","Methylophagaceae_unclassified"
"ASV9","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera","Methylotenera_unclassified"
"ASV10","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081 sediment group","Sva0081 sediment group_unclassified"
"ASV13","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","Sulfurimonas_unclassified"
"ASV17","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","Sulfurimonas_unclassified"
"ASV19","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinaceae_unclassified","Sandaracinaceae_unclassified"
"ASV20","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix","Leucothrix_unclassified"
"ASV23","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Desulfosarcina","Desulfosarcina_unclassified"
"ASV24","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081 sediment group","Sva0081 sediment group_unclassified"
"ASV26","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Paraglaciecola","Paraglaciecola_unclassified"
"ASV28","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacterales_unclassified","Pelagibacterales_unclassified","Pelagibacterales_unclassified"
"ASV29","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081 sediment group","Sva0081 sediment group_unclassified"
"ASV30","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus","Defluviicoccus_unclassified"
"ASV31","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicellaceae_unclassified","Arenicellaceae_unclassified"
"ASV32","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Methylophagaceae_unclassified","Methylophagaceae_unclassified"
"ASV33","root","Main genome","Bacteria","Bacteria (superkingdom)","FCB group","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Eudoraea","Eudoraea_unclassified"
"ASV35","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfurimonas","Sulfurimonas_unclassified"
"ASV37","root","Main genome","Bacteria","Bacteria (superkingdom)","Proteobacteria superphylum","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pacificibacter","Pacificibacter_unclassified"
