"","root","type","domain","rank_I","rank_II","rank_III","rank_IV","rank_V","rank_VI","rank_VII","rank_VIII","rank_IX","rank_X","rank_XI"
"ASV2","root","Main genome","Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"ASV3","root","Main genome","Eukaryota","Amorphea","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Leptothecata_unclassified","Leptothecata_unclassified","Leptothecata_unclassified","Leptothecata_unclassified","Leptothecata_unclassified","Leptothecata_unclassified"
"ASV4","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV5","root","Main genome","Eukaryota","Amorphea","Metazoa","Cnidaria","Anthozoa","Actiniaria","Actiniaria_unclassified","Actiniaria_unclassified","Actiniaria_unclassified","Actiniaria_unclassified","Actiniaria_unclassified","Actiniaria_unclassified"
"ASV6","root","Main genome","Eukaryota","Amorphea","Metazoa","Mollusca","Gastropoda","Caenogastropoda","Caenogastropoda_unclassified","Caenogastropoda_unclassified","Caenogastropoda_unclassified","Caenogastropoda_unclassified","Caenogastropoda_unclassified","Caenogastropoda_unclassified"
"ASV7","root","Main genome","Eukaryota","Amorphea","Metazoa","Annelida","Polychaeta","Spionida","Spionidae","Pygospio","Pygospio elegans","Pygospio elegans_unclassified","Pygospio elegans_unclassified","Pygospio elegans_unclassified"
"ASV8","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
"ASV9","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Polar-centric-Mediophyceae","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified","Polar-centric-Mediophyceae_unclassified"
"ASV10","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Araphid-pennate","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified","Araphid-pennate_unclassified"
"ASV11","root","Main genome","Eukaryota","Amorphea","Metazoa","Mollusca","Bivalvia","Myoida","Myidae","Myidae_unclassified","Myidae_unclassified","Myidae_unclassified","Myidae_unclassified","Myidae_unclassified"
"ASV12","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Phaeophyceae","Phaeophyceae X","Phaeophyceae XX","Phaeophyceae XX_unclassified","Phaeophyceae XX_unclassified","Phaeophyceae XX_unclassified","Phaeophyceae XX_unclassified","Phaeophyceae XX_unclassified"
"ASV13","root","Main genome","Eukaryota","SAR","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified","Bacillariophyta_unclassified"
